version_otp,version_erts,url_win32,url_win64
21.1,10.1,http://erlang.org/download/otp_win32_21.1.exe,http://erlang.org/download/otp_win64_21.1.exe
21.0,10.0,http://erlang.org/download/otp_win32_21.0.1.exe,http://erlang.org/download/otp_win64_21.0.1.exe
20.2,9.2,http://erlang.org/download/otp_win32_20.2.exe,http://erlang.org/download/otp_win64_20.2.exe
20.0,9.0,http://erlang.org/download/otp_win32_20.0.exe,http://erlang.org/download/otp_win64_20.0.exe
19.3,8.3,http://erlang.org/download/otp_win32_19.3.exe,http://erlang.org/download/otp_win64_19.3.exe
19.0,8.0,http://erlang.org/download/otp_win32_19.0.exe,http://erlang.org/download/otp_win64_19.0.exe
18.3,7.3,http://erlang.org/download/otp_win32_18.3.exe,http://erlang.org/download/otp_win64_18.3.exe
18.1,7.1,http://erlang.org/download/otp_win32_18.1.exe,http://erlang.org/download/otp_win64_18.1.exe
17.5,6.4,http://erlang.org/download/otp_win32_17.5.exe,http://erlang.org/download/otp_win64_17.5.exe
17.4,6.3,http://erlang.org/download/otp_win32_17.4.exe,http://erlang.org/download/otp_win64_17.4.exe
